Country,Gender,Age,Dissatisfaction_with_democracy,Distrust_level_agianst_politicians,Dissatisfaction_with_politics,Dissatisfaction_with_economy
Republic of Korea,2,1953,4,2,3,3
Republic of Korea,1,1995,4,4,3,3
Republic of Korea,2,1994,4,4,3,3
Republic of Korea,1,1981,4,4,3,4
Republic of Korea,1,1980,4,4,3,3
Republic of Korea,2,1981,4,4,3,3
Republic of Korea,1,1970,4,4,1,4
Republic of Korea,2,1973,4,5,3,3
Republic of Korea,2,1972,2,3,2,3
Republic of Korea,1,1965,4,3,2,3
Republic of Korea,1,1964,2,4,3,3
Republic of Korea,2,1966,2,3,2,3
Republic of Korea,1,1951,2,3,3,4
Republic of Korea,1,1947,2,3,2,3
Republic of Korea,2,1954,4,3,3,3
Republic of Korea,2,1955,2,3,2,3
Republic of Korea,1,1988,4,3,3,3
Republic of Korea,2,1989,4,3,3,3
Republic of Korea,1,1984,4,4,3,3
Republic of Korea,1,1983,2,4,3,3
Republic of Korea,2,1982,2,4,3,3
Republic of Korea,1,1974,4,4,3,3
Republic of Korea,2,1971,4,4,3,4
Republic of Korea,2,1972,5,4,4,3
Republic of Korea,1,1962,5,4,4,4
Republic of Korea,1,1961,5,5,3,3
Republic of Korea,2,1964,2,2,2,4
Republic of Korea,1,1955,4,3,2,3
Republic of Korea,1,1954,4,3,3,3
Republic of Korea,2,1950,4,3,3,3
Republic of Korea,2,1953,4,5,2,3
Republic of Korea,1,1988,4,4,2,4
Republic of Korea,2,1989,4,4,3,4
Republic of Korea,1,1979,4,3,3,3
Republic of Korea,1,1983,4,3,2,4
Republic of Korea,2,1980,4,3,3,3
Republic of Korea,1,1969,4,2,3,4
Republic of Korea,1,1971,4,3,2,4
Republic of Korea,2,1968,4,3,3,4
Republic of Korea,2,1970,4,4,3,4
Republic of Korea,1,1963,4,4,3,3
Republic of Korea,1,1964,4,3,3,4
Republic of Korea,2,1963,4,2,3,3
Republic of Korea,1,1954,2,3,2,4
Republic of Korea,2,1955,4,2,3,4
Republic of Korea,2,1955,4,2,1,2
Republic of Korea,1,1995,4,4,3,3
Republic of Korea,2,1994,4,4,3,4
Republic of Korea,1,1980,4,3,3,4
Republic of Korea,2,1981,4,4,3,3
Republic of Korea,1,1970,4,3,3,4
Republic of Korea,2,1971,4,3,3,3
Republic of Korea,2,1972,4,5,3,3
Republic of Korea,1,1965,4,3,3,3
Republic of Korea,1,1958,4,3,3,3
Republic of Korea,2,1966,2,4,3,3
Republic of Korea,2,1965,2,3,2,3
Republic of Korea,1,1950,2,3,3,4
Republic of Korea,1,1946,2,3,3,3
Republic of Korea,2,1953,4,3,3,3
Republic of Korea,2,1954,2,3,2,3
Republic of Korea,1,1988,4,3,3,3
Republic of Korea,2,1990,4,3,3,3
Republic of Korea,1,1983,4,3,3,3
Republic of Korea,1,1979,2,2,2,3
Republic of Korea,2,1978,2,3,2,3
Republic of Korea,1,1967,2,4,2,3
